words@amorozov1986m		225.29	225.663	Нашёл
words@amorozov1986m		225.663	226.037	чела
words@amorozov1986m		226.037	226.411	который
words@amorozov1986m		226.411	226.784	говорил
words@amorozov1986m		226.784	227.158	что
words@amorozov1986m		227.158	227.532	если
words@amorozov1986m		227.532	227.905	чё-то
words@amorozov1986m		227.905	228.279	будет
words@amorozov1986m		228.279	228.653	/
words@amorozov1986m		228.653	229.026	он
words@amorozov1986m		229.026	229.4	будет
words@amorozov1986m		229.4	229.774	готов
words@amorozov1986m		230.355	230.698	Мы
words@amorozov1986m		230.698	231.041	выступили
words@amorozov1986m		231.041	231.384	/
words@amorozov1986m		231.384	231.728	потом
words@amorozov1986m		231.728	232.071	позвали
words@amorozov1986m		232.071	232.414	ещё
words@amorozov1986m		232.414	232.758	куда-то
words@amorozov1986m		232.758	233.101	ещё
words@amorozov1986m		233.101	233.444	куда-то
words@amorozov1986m		233.444	233.787	а
words@amorozov1986m		233.787	234.131	потом
words@amorozov1986m		234.131	234.474	постепенно
words@amorozov1986m		234.474	234.817	собрали
words@amorozov1986m		234.817	235.161	группу
words@amorozov1986m		237.216	237.612	Мм
words@amorozov1986m		238.08	238.451	Тип
words@amorozov1986m		238.451	238.822	того
words@amorozov1986m		249.659	250.549	#нрзб#
words@amorozov1986m		251.362	251.681	если
words@amorozov1986m		251.681	252.001	честно
words@amorozov1986m		252.001	252.321	я
words@amorozov1986m		252.321	252.64	до
words@amorozov1986m		252.64	252.96	сих
words@amorozov1986m		252.96	253.28	пор
words@amorozov1986m		253.28	253.6	не
words@amorozov1986m		253.6	253.919	понимаю
words@amorozov1986m		253.919	254.239	этих
words@amorozov1986m		254.239	254.559	механизмов
words@amorozov1986m		254.559	254.879	//
words@amorozov1986m		255.999	256.381	я
words@amorozov1986m		256.381	256.764	не
words@amorozov1986m		256.764	257.147	понимаю
words@amorozov1986m		257.147	257.53	механизмов
words@amorozov1986m		257.53	257.913	популярности
words@amorozov1986m		257.913	258.296	//
words@amorozov1986m		258.967	259.575	механизмов
words@amorozov1986m		259.575	260.183	непопулярности
words@amorozov1986m		260.183	260.791	//
words@amorozov1986m		261.329	261.773	но
words@amorozov1986m		261.773	262.218	про
words@amorozov1986m		262.218	262.662	себя
